Attrition,BusinessTravel,DailyRate,DistanceFromHome,EducationField,EmployeeID,EnvironmentSatisfaction,JobInvolvement,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,OverTime,StockOptionLevel,TrainingTimesLastYear,YearsAtCompany,TenureGroupID,SalaryBandID
Yes,Travel_Rarely,465,2,Life Sciences,328,Low,3,Laboratory Technician,Low,Married,2707,No,0,3,9,3,1
No,Non-Travel,771,2,Life Sciences,329,Low,2,Manager,High,Single,19068,Yes,0,2,33,4,4
No,Travel_Rarely,1401,4,Life Sciences,330,High,3,Sales Representative,Medium,Married,3931,No,1,5,4,2,2
Yes,Travel_Rarely,515,1,Life Sciences,331,Very High,2,Laboratory Technician,High,Single,3730,Yes,0,2,3,2,2
No,Travel_Rarely,1431,1,Medical,332,High,3,Laboratory Technician,High,Divorced,2232,No,3,1,3,2,1
No,Non-Travel,976,26,Marketing,333,High,3,Sales Executive,Very High,Married,4465,No,0,2,3,2,2
No,Travel_Rarely,1411,19,Life Sciences,334,High,3,Research Scientist,Low,Divorced,3072,No,2,2,1,1,2
No,Travel_Rarely,1300,24,Technical Degree,335,Low,3,Research Scientist,Very High,Divorced,3319,No,2,3,9,3,2
No,Travel_Rarely,252,1,Other,336,High,4,Manager,Very High,Married,19202,No,1,2,24,4,4
No,Travel_Frequently,1327,3,Medical,337,Medium,3,Research Director,High,Divorced,13675,No,1,3,2,1,4
No,Travel_Rarely,832,5,Life Sciences,338,High,2,Research Scientist,Very High,Married,2911,No,1,2,2,1,1
No,Travel_Rarely,470,2,Life Sciences,339,Very High,2,Manufacturing Director,Low,Married,5957,No,1,3,11,4,3
No,Travel_Rarely,1017,1,Medical,340,High,2,Research Scientist,Low,Married,3920,No,1,2,3,2,2
No,Travel_Frequently,1199,7,Life Sciences,341,Low,4,Manufacturing Director,High,Married,6434,No,1,1,3,2,3
Yes,Travel_Frequently,504,10,Medical,342,Low,3,Manufacturing Director,High,Divorced,10048,No,2,5,1,1,4
No,Travel_Frequently,505,2,Technical Degree,343,High,3,Healthcare Representative,High,Single,10938,No,0,1,19,4,4
No,Travel_Rarely,665,15,Life Sciences,346,High,3,Research Scientist,Very High,Single,2340,No,0,1,6,3,1
No,Travel_Rarely,916,17,Life Sciences,347,Very High,4,Research Scientist,Low,Single,6545,Yes,0,1,3,2,3
No,Travel_Rarely,1247,20,Marketing,349,Very High,3,Sales Executive,Very High,Divorced,6931,No,1,2,3,2,3
No,Travel_Rarely,685,1,Life Sciences,350,Low,3,Manufacturing Director,High,Married,4898,No,2,3,4,2,2
No,Travel_Rarely,269,2,Medical,351,Very High,2,Laboratory Technician,Low,Divorced,2593,Yes,1,4,9,3,1
No,Travel_Rarely,1416,2,Medical,352,Low,3,Research Director,High,Divorced,19436,No,1,5,21,4,4
No,Travel_Rarely,833,1,Life Sciences,353,High,3,Research Scientist,Very High,Married,2723,No,0,0,1,1,1
Yes,Travel_Frequently,307,29,Medical,355,High,2,Laboratory Technician,Medium,Single,3479,No,0,2,5,2,2
No,Travel_Frequently,1311,7,Life Sciences,359,Medium,4,Laboratory Technician,Medium,Married,2794,No,0,3,5,2,1
No,Non-Travel,1327,2,Life Sciences,361,Very High,2,Sales Executive,Very High,Married,5249,No,1,0,8,3,3
No,Travel_Rarely,128,2,Technical Degree,362,Very High,2,Laboratory Technician,Low,Single,2176,No,0,5,6,3,1
No,Travel_Rarely,488,2,Technical Degree,363,High,1,Manager,Medium,Married,16872,Yes,1,2,7,3,4
Yes,Travel_Rarely,529,2,Life Sciences,364,Low,3,Laboratory Technician,High,Single,3485,No,0,5,0,1,2
No,Travel_Rarely,1210,2,Medical,366,Low,2,Sales Executive,Medium,Married,6644,No,2,2,0,1,3
No,Travel_Rarely,1463,23,Medical,367,Medium,2,Healthcare Representative,Very High,Married,5582,No,1,2,9,3,3
No,Non-Travel,675,5,Life Sciences,369,Medium,4,Healthcare Representative,Low,Divorced,4000,No,2,2,6,3,2
No,Travel_Rarely,1385,20,Medical,372,High,3,Healthcare Representative,Very High,Married,13496,Yes,0,2,20,4,4
No,Travel_Rarely,1403,6,Life Sciences,373,Very High,3,Laboratory Technician,Very High,Married,3210,No,1,4,15,4,2
No,Travel_Rarely,452,1,Medical,374,Very High,3,Manager,Low,Single,19045,Yes,0,2,36,4,4
Yes,Non-Travel,666,29,Life Sciences,376,Low,3,Manager,Medium,Married,11849,Yes,1,2,10,3,4
No,Travel_Rarely,1158,9,Medical,377,Very High,3,Research Scientist,Very High,Married,2070,No,1,3,5,2,1
No,Travel_Rarely,228,6,Medical,378,High,3,Sales Executive,Very High,Married,6502,No,1,5,5,2,3
No,Travel_Rarely,996,3,Medical,379,Very High,2,Research Scientist,High,Single,3230,No,0,4,3,2,2
No,Non-Travel,728,1,Medical,380,Low,3,Research Director,Very High,Divorced,13603,Yes,2,2,5,2,4
No,Travel_Rarely,1315,22,Life Sciences,381,Medium,4,Manager,Medium,Divorced,11996,No,1,6,7,3,4
No,Travel_Rarely,322,7,Medical,382,Low,4,Sales Executive,Low,Divorced,5605,Yes,1,3,8,3,3
No,Travel_Frequently,1479,1,Life Sciences,384,High,3,Manufacturing Director,Medium,Divorced,6397,No,1,6,6,3,3
No,Travel_Rarely,797,4,Life Sciences,385,Low,3,Research Director,Medium,Divorced,19144,No,2,4,10,3,4
No,Travel_Rarely,1070,3,Medical,386,High,3,Research Director,High,Married,17584,Yes,3,5,5,2,4
No,Travel_Rarely,635,1,Life Sciences,387,Medium,3,Sales Executive,High,Married,4907,No,0,3,20,4,2
No,Travel_Frequently,442,2,Life Sciences,388,Medium,3,Sales Executive,Very High,Single,4554,No,0,3,10,3,2
No,Travel_Rarely,147,20,Technical Degree,389,Medium,3,Laboratory Technician,Very High,Married,5415,Yes,1,4,10,3,3
No,Travel_Frequently,496,11,Medical,390,Low,3,Healthcare Representative,Low,Married,4741,Yes,1,3,5,2,2
No,Travel_Rarely,1372,1,Life Sciences,391,Very High,3,Research Scientist,Very High,Single,2115,No,0,3,17,4,1
Yes,Travel_Frequently,920,24,Life Sciences,392,Very High,3,Laboratory Technician,High,Divorced,3161,Yes,1,0,1,1,2
No,Travel_Rarely,688,23,Life Sciences,393,Very High,3,Healthcare Representative,Very High,Divorced,5745,No,1,2,2,1,3
Yes,Travel_Rarely,1449,16,Medical,394,Low,3,Laboratory Technician,Medium,Divorced,2373,Yes,1,2,3,2,1
No,Travel_Rarely,1117,8,Life Sciences,395,Very High,3,Research Scientist,Very High,Single,3310,No,0,3,5,2,2
No,Travel_Frequently,636,10,Life Sciences,396,High,3,Research Director,Low,Single,18665,Yes,0,4,3,2,4
No,Travel_Rarely,506,3,Technical Degree,397,High,3,Research Scientist,Medium,Single,4485,No,0,2,8,3,2
No,Travel_Frequently,444,5,Marketing,399,Very High,3,Sales Representative,Medium,Divorced,2789,No,1,5,2,1,1
Yes,Travel_Rarely,950,4,Marketing,401,Very High,2,Sales Executive,Very High,Single,5828,Yes,0,0,8,3,3
No,Travel_Frequently,889,9,Medical,403,Medium,3,Research Scientist,Very High,Married,2326,Yes,3,3,4,2,1
No,Travel_Frequently,555,26,Marketing,404,High,3,Sales Executive,Medium,Married,13525,No,1,2,20,4,4
Yes,Travel_Rarely,230,3,Life Sciences,405,High,3,Laboratory Technician,High,Single,1420,No,0,2,0,1,1
No,Travel_Rarely,1232,16,Marketing,406,High,3,Sales Executive,Medium,Married,8020,No,2,3,11,4,3
No,Travel_Frequently,566,18,Life Sciences,407,High,4,Laboratory Technician,Very High,Married,3688,No,2,2,1,1,2
No,Travel_Rarely,1302,2,Medical,408,Very High,1,Manufacturing Director,Medium,Divorced,5482,No,1,3,4,2,3
No,Travel_Rarely,334,2,Life Sciences,410,Very High,3,Manager,Medium,Single,16015,No,0,2,22,4,4
No,Travel_Rarely,812,10,Medical,411,Very High,2,Sales Representative,High,Single,1200,No,0,2,0,1,1
No,Travel_Rarely,1476,16,Medical,412,Medium,4,Healthcare Representative,Low,Single,5661,No,0,2,8,3,3
No,Travel_Rarely,218,7,Technical Degree,416,Medium,4,Sales Executive,Very High,Married,6929,No,1,3,8,3,3
No,Travel_Rarely,1132,1,Medical,417,High,4,Healthcare Representative,Very High,Divorced,9613,No,3,5,18,4,4
No,Non-Travel,1105,24,Life Sciences,419,Medium,3,Laboratory Technician,Medium,Married,5674,No,1,3,9,3,3
No,Travel_Rarely,906,7,Life Sciences,420,Very High,2,Sales Executive,High,Married,5484,No,1,3,13,4,3
No,Travel_Rarely,849,25,Life Sciences,421,Low,2,Research Director,Medium,Married,12061,No,1,2,10,3,4
No,Non-Travel,390,1,Life Sciences,422,Very High,1,Healthcare Representative,High,Divorced,5660,Yes,1,2,5,2,3
No,Travel_Rarely,691,5,Technical Degree,423,High,3,Research Scientist,Very High,Married,4821,Yes,1,4,5,2,2
No,Travel_Rarely,106,2,Human Resources,424,Low,2,Human Resources,Low,Married,6410,No,0,1,2,1,3
No,Travel_Frequently,1249,7,Life Sciences,425,Low,3,Laboratory Technician,Low,Divorced,5210,No,1,2,24,4,3
No,Travel_Rarely,192,2,Life Sciences,426,High,3,Research Scientist,Very High,Divorced,2695,Yes,1,2,2,1,1
No,Travel_Frequently,553,5,Life Sciences,428,Very High,3,Manager,Medium,Married,11878,No,2,2,10,3,4
No,Travel_Rarely,117,10,Medical,429,High,3,Manager,Low,Married,17068,Yes,0,3,21,4,4
No,Travel_Frequently,185,10,Life Sciences,430,High,3,Laboratory Technician,Very High,Single,2455,No,0,5,8,3,1
No,Travel_Rarely,1091,1,Technical Degree,431,High,2,Healthcare Representative,High,Single,13964,Yes,0,2,7,3,4
Yes,Travel_Rarely,723,8,Medical,433,High,2,Research Scientist,Medium,Married,4941,No,0,3,8,3,3
No,Travel_Rarely,1220,5,Life Sciences,434,High,3,Research Scientist,Medium,Single,2478,Yes,0,2,4,2,1
No,Travel_Rarely,588,8,Technical Degree,436,High,2,Sales Executive,Medium,Married,5228,Yes,0,2,13,4,3
No,Travel_Rarely,1377,2,Life Sciences,437,Very High,3,Sales Executive,High,Single,4478,Yes,0,3,5,2,2
No,Travel_Rarely,691,7,Marketing,438,Very High,3,Sales Executive,Very High,Divorced,7547,No,3,3,7,3,3
No,Travel_Rarely,1018,2,Medical,439,Low,4,Research Scientist,Very High,Single,5055,No,0,0,7,3,3
Yes,Travel_Rarely,1157,2,Medical,440,Low,1,Research Scientist,Very High,Married,3464,Yes,0,4,3,2,2
No,Travel_Rarely,1275,28,Medical,441,Very High,3,Research Scientist,Very High,Married,5775,No,2,2,10,3,3
No,Travel_Frequently,798,7,Life Sciences,442,High,2,Manufacturing Director,High,Married,8943,No,1,2,10,3,4
No,Travel_Frequently,672,7,Medical,444,High,2,Manager,Very High,Married,19272,No,1,2,21,4,4
Yes,Travel_Rarely,1162,3,Medical,445,Very High,3,Sales Executive,High,Married,5238,Yes,0,3,1,1,3
No,Travel_Frequently,508,10,Marketing,446,Medium,2,Sales Executive,Very High,Single,4682,No,0,6,7,3,2
No,Travel_Rarely,1482,5,Life Sciences,447,Very High,3,Research Director,High,Married,18300,No,1,2,3,2,4
No,Travel_Frequently,559,10,Life Sciences,448,High,2,Laboratory Technician,High,Divorced,5257,No,1,3,9,3,3
No,Non-Travel,210,1,Marketing,449,High,3,Sales Executive,Medium,Married,6349,Yes,1,0,5,2,3
No,Travel_Frequently,928,20,Life Sciences,450,Very High,3,Research Scientist,High,Single,4869,No,0,4,4,2,2
No,Travel_Rarely,1001,7,Life Sciences,451,High,3,Healthcare Representative,Low,Married,9985,No,1,1,1,1,4
No,Travel_Rarely,549,8,Other,452,Very High,3,Research Scientist,Very High,Married,3697,No,2,3,10,3,2
No,Travel_Rarely,1124,1,Medical,453,Medium,1,Sales Executive,Very High,Married,7457,Yes,3,2,4,2,3
Yes,Travel_Rarely,318,8,Other,454,Medium,1,Laboratory Technician,Low,Married,2119,Yes,0,4,7,3,1
No,Travel_Rarely,738,9,Other,455,Medium,2,Laboratory Technician,Very High,Single,3983,No,0,2,3,2,2
No,Travel_Rarely,570,5,Marketing,456,Very High,2,Sales Executive,High,Divorced,6118,No,3,2,10,3,3
No,Travel_Rarely,1130,8,Marketing,458,Medium,3,Sales Executive,Medium,Married,6214,No,1,3,8,3,3
No,Travel_Rarely,1192,5,Medical,460,Very High,3,Manufacturing Director,Very High,Divorced,6347,No,2,2,6,3,3
No,Travel_Rarely,343,15,Life Sciences,461,High,2,Research Director,Very High,Divorced,11510,Yes,1,3,11,4,4
No,Travel_Rarely,1232,7,Medical,462,High,3,Manufacturing Director,Very High,Single,7143,Yes,0,2,11,4,3
No,Travel_Rarely,144,10,Marketing,463,Very High,2,Sales Executive,Medium,Divorced,8268,Yes,2,2,7,3,3
No,Travel_Rarely,1296,5,Technical Degree,464,High,3,Manufacturing Director,Medium,Single,8095,No,0,5,16,4,3
No,Travel_Rarely,1309,26,Life Sciences,465,High,3,Research Scientist,Very High,Divorced,2904,No,2,2,4,2,1
No,Travel_Rarely,483,6,Medical,466,Very High,2,Manufacturing Director,Medium,Single,6032,Yes,0,3,5,2,3
No,Travel_Frequently,1309,4,Medical,467,Medium,3,Sales Representative,High,Single,2976,No,0,3,0,1,2
No,Travel_Rarely,810,23,Life Sciences,468,Low,3,Research Director,Very High,Single,15992,No,0,2,1,1,4
No,Non-Travel,746,2,Life Sciences,469,Very High,3,Sales Executive,High,Married,4649,No,1,3,4,2,2
No,Travel_Rarely,544,2,Technical Degree,470,High,3,Human Resources,High,Divorced,2696,Yes,1,5,3,2,1
No,Travel_Rarely,1062,2,Medical,471,High,3,Laboratory Technician,Medium,Married,2370,No,1,4,8,3,1
No,Travel_Rarely,530,29,Medical,473,Low,3,Manager,High,Married,12504,No,1,3,0,1,4
No,Travel_Rarely,1319,6,Medical,474,High,4,Research Scientist,Low,Divorced,5974,Yes,2,2,7,3,3
No,Non-Travel,641,25,Technical Degree,475,Very High,3,Sales Executive,High,Married,4736,Yes,1,2,2,1,2
No,Travel_Rarely,933,1,Life Sciences,476,High,3,Sales Executive,High,Married,5296,No,1,3,8,3,3
No,Travel_Rarely,1332,2,Other,477,Low,2,Healthcare Representative,Very High,Single,6781,No,0,6,1,1,3
Yes,Travel_Frequently,756,1,Technical Degree,478,Low,2,Sales Representative,Medium,Single,2174,Yes,0,3,3,2,1
No,Non-Travel,845,1,Medical,479,Very High,3,Sales Executive,Very High,Single,6653,No,0,6,1,1,3
No,Travel_Frequently,541,3,Medical,481,Low,2,Sales Executive,Very High,Married,9699,No,1,2,13,4,4
No,Travel_Rarely,593,1,Medical,482,Very High,3,Healthcare Representative,High,Married,6755,No,0,2,3,2,3
No,Travel_Rarely,1171,10,Life Sciences,483,Very High,4,Laboratory Technician,High,Married,2213,Yes,1,3,7,3,1
No,Non-Travel,895,9,Medical,484,Low,3,Sales Representative,Very High,Single,2610,No,0,3,3,2,1
Yes,Travel_Rarely,350,5,Marketing,485,Very High,3,Sales Representative,High,Single,2851,Yes,0,2,1,1,1
No,Travel_Rarely,921,10,Medical,486,High,3,Laboratory Technician,Low,Married,3452,No,1,3,5,2,2
No,Non-Travel,1144,7,Medical,487,High,3,Manufacturing Director,High,Married,5258,No,0,2,1,1,3
Yes,Travel_Frequently,143,4,Marketing,488,Low,3,Sales Executive,Medium,Single,9355,No,0,5,8,3,4
No,Travel_Rarely,1046,10,Technical Degree,491,Very High,2,Healthcare Representative,Very High,Single,10496,No,0,2,4,2,4
Yes,Travel_Rarely,575,22,Marketing,492,High,2,Sales Executive,High,Married,6380,Yes,2,6,6,3,3
No,Travel_Rarely,408,9,Life Sciences,493,High,2,Research Scientist,Medium,Single,2657,Yes,0,5,2,1,1
Yes,Travel_Rarely,156,12,Life Sciences,494,High,4,Sales Representative,Medium,Single,2716,No,0,0,1,1,1
No,Travel_Rarely,1283,23,Life Sciences,495,Very High,3,Research Scientist,Very High,Single,2201,No,0,4,3,2,1
No,Travel_Rarely,755,9,Life Sciences,496,High,2,Healthcare Representative,Medium,Single,6540,No,0,5,1,1,3
No,Travel_Rarely,1469,1,Medical,497,Very High,3,Laboratory Technician,Medium,Divorced,3816,No,1,2,5,2,2
No,Travel_Rarely,304,9,Life Sciences,498,Medium,3,Sales Executive,Very High,Single,5253,No,0,1,7,3,3
No,Travel_Rarely,1261,7,Other,499,Medium,2,Healthcare Representative,High,Single,10965,No,0,2,5,2,4
No,Travel_Rarely,1178,14,Life Sciences,500,High,3,Sales Executive,Very High,Married,4936,No,1,2,7,3,3
No,Travel_Rarely,329,2,Life Sciences,501,Very High,3,Research Scientist,High,Married,2543,No,1,3,2,1,1
Yes,Non-Travel,1362,19,Marketing,502,Low,4,Sales Executive,Very High,Single,5304,Yes,0,3,5,2,3
No,Travel_Rarely,1311,2,Life Sciences,505,High,3,Manager,Very High,Single,16659,Yes,0,2,5,2,4
No,Travel_Rarely,1371,10,Marketing,507,Very High,3,Sales Executive,High,Divorced,4260,Yes,1,2,5,2,2
No,Travel_Rarely,202,2,Technical Degree,508,High,3,Sales Representative,Medium,Married,2476,No,1,3,1,1,1
Yes,Travel_Frequently,575,3,Technical Degree,510,High,3,Research Scientist,Low,Single,3102,No,0,2,6,3,2
No,Travel_Rarely,253,11,Medical,511,Low,3,Research Scientist,Medium,Married,2244,No,1,1,2,1,1
No,Travel_Rarely,164,2,Medical,513,Medium,2,Sales Executive,High,Married,7596,No,2,2,10,3,3
Yes,Travel_Frequently,464,4,Technical Degree,514,High,3,Research Scientist,Very High,Single,2285,Yes,0,4,1,1,1
No,Travel_Rarely,1107,14,Life Sciences,515,Very High,3,Laboratory Technician,Low,Divorced,3034,No,1,2,18,4,2
No,Travel_Rarely,759,2,Marketing,516,Very High,3,Sales Executive,Medium,Divorced,5715,No,2,5,5,2,3
No,Travel_Rarely,201,1,Life Sciences,517,Medium,3,Laboratory Technician,Low,Divorced,2576,No,1,5,5,2,1
No,Travel_Rarely,1305,10,Life Sciences,518,High,3,Manufacturing Director,Medium,Single,4197,Yes,0,2,1,1,2
No,Travel_Rarely,982,12,Life Sciences,520,Low,2,Research Director,Medium,Divorced,14336,No,1,3,25,4,4
No,Travel_Rarely,555,2,Medical,521,Medium,2,Laboratory Technician,High,Married,3448,No,1,3,1,1,2
No,Travel_Rarely,821,5,Medical,522,Low,3,Research Director,Low,Married,19406,No,1,4,4,2,4
No,Non-Travel,1381,4,Marketing,523,High,3,Sales Executive,High,Married,6538,No,1,3,3,2,3
No,Travel_Rarely,480,7,Medical,524,Medium,3,Manufacturing Director,Low,Married,4306,No,1,5,13,4,2
No,Travel_Frequently,313,21,Medical,525,Very High,3,Laboratory Technician,Very High,Married,2258,No,1,1,3,2,1
No,Travel_Rarely,1473,8,Other,526,High,3,Healthcare Representative,High,Divorced,4522,Yes,0,3,5,2,2
No,Travel_Rarely,891,4,Life Sciences,527,Medium,2,Sales Executive,Very High,Single,4487,Yes,0,3,5,2,2
No,Non-Travel,1063,25,Medical,529,Medium,3,Research Scientist,High,Married,4449,Yes,2,2,13,4,2
No,Travel_Rarely,329,1,Life Sciences,530,Very High,2,Laboratory Technician,Low,Married,2218,No,1,3,4,2,1
No,Travel_Frequently,1218,1,Life Sciences,531,Medium,3,Manager,High,Divorced,19197,Yes,1,3,21,4,4
No,Travel_Frequently,906,6,Life Sciences,532,High,4,Sales Executive,Low,Married,13212,No,3,0,7,3,4
No,Travel_Rarely,1082,12,Technical Degree,533,Medium,3,Sales Executive,High,Single,6577,No,0,6,5,2,3
No,Travel_Rarely,645,1,Marketing,534,Medium,4,Sales Executive,Low,Married,8392,No,1,2,10,3,4
No,Travel_Rarely,1300,17,Medical,536,High,3,Laboratory Technician,Low,Divorced,4558,No,1,2,10,3,2
Yes,Travel_Rarely,688,3,Medical,538,Low,3,Laboratory Technician,Low,Married,4031,No,1,5,2,1,2
No,Travel_Rarely,319,3,Medical,543,Very High,2,Manufacturing Director,High,Married,7969,Yes,0,4,5,2,3
No,Travel_Rarely,192,10,Life Sciences,544,Low,3,Research Scientist,Very High,Married,2654,No,2,3,2,1,1
No,Travel_Rarely,1490,4,Life Sciences,546,Very High,3,Manager,Very High,Married,16555,No,0,2,5,2,4
No,Travel_Frequently,532,29,Life Sciences,547,Low,3,Research Scientist,High,Divorced,4556,No,1,3,5,2,2
No,Travel_Rarely,317,2,Life Sciences,548,High,1,Manufacturing Director,Very High,Single,6091,No,0,2,5,2,3
No,Travel_Rarely,422,7,Life Sciences,549,Low,3,Manager,Low,Married,19566,No,0,5,29,4,4
No,Travel_Rarely,1485,18,Medical,550,High,3,Manufacturing Director,High,Divorced,4810,No,1,5,10,3,2
No,Travel_Frequently,1368,28,Technical Degree,551,Very High,2,Healthcare Representative,Very High,Married,4523,No,3,4,6,3,2
Yes,Travel_Rarely,1448,1,Technical Degree,554,Low,3,Sales Representative,Medium,Single,3202,Yes,0,4,5,2,2
Yes,Travel_Frequently,296,6,Marketing,555,Very High,1,Sales Representative,High,Divorced,2351,No,1,3,2,1,1
No,Travel_Frequently,1490,2,Life Sciences,556,Very High,3,Laboratory Technician,Very High,Married,1702,Yes,1,3,1,1,1
No,Travel_Rarely,1398,2,Life Sciences,558,High,3,Manager,High,Married,18041,No,0,2,20,4,4
No,Travel_Rarely,1349,23,Life Sciences,560,Low,3,Research Scientist,Very High,Divorced,2886,No,2,3,3,2,1
No,Non-Travel,1400,3,Life Sciences,562,High,3,Laboratory Technician,Very High,Married,2097,No,1,3,5,2,1
No,Travel_Rarely,986,3,Medical,564,Medium,2,Research Director,High,Married,11935,No,0,2,10,3,4
Yes,Travel_Rarely,408,25,Technical Degree,565,High,2,Research Scientist,Medium,Married,2546,No,0,2,2,1,1
Yes,Travel_Rarely,489,2,Technical Degree,566,Low,2,Human Resources,Very High,Single,2564,No,0,3,1,1,1
No,Non-Travel,1398,22,Other,567,High,3,Sales Executive,Low,Married,8412,No,0,3,9,3,4
No,Travel_Rarely,210,29,Marketing,568,Low,2,Manager,Very High,Divorced,14118,No,1,3,1,1,4
No,Travel_Rarely,1099,29,Life Sciences,569,Medium,2,Manager,High,Married,17046,No,1,2,27,4,4
No,Non-Travel,1116,2,Medical,571,High,3,Laboratory Technician,Very High,Single,2564,No,0,2,11,4,1
No,Travel_Frequently,1499,28,Marketing,573,High,2,Sales Executive,Low,Married,10266,No,0,5,18,4,4
No,Travel_Rarely,983,2,Medical,574,Low,3,Manufacturing Director,Very High,Divorced,5070,No,3,2,5,2,3
No,Travel_Rarely,1009,2,Life Sciences,575,Low,3,Research Director,High,Married,17861,No,0,2,3,2,4
No,Travel_Rarely,144,22,Life Sciences,577,Very High,1,Laboratory Technician,High,Single,4230,No,0,2,5,2,2
No,Travel_Rarely,548,8,Life Sciences,578,High,3,Laboratory Technician,High,Single,3780,No,0,3,1,1,2
No,Travel_Rarely,1303,2,Life Sciences,579,Very High,2,Research Scientist,High,Divorced,2768,No,1,3,7,3,1
No,Travel_Rarely,1125,10,Marketing,580,High,2,Sales Executive,Very High,Married,9071,Yes,1,3,3,2,4
No,Travel_Rarely,1274,9,Life Sciences,581,High,3,Manufacturing Director,Medium,Divorced,10648,No,1,6,13,4,4
Yes,Travel_Rarely,1277,15,Medical,582,Medium,3,Manager,High,Married,13610,Yes,0,2,7,3,4
Yes,Travel_Rarely,587,10,Medical,584,Low,1,Laboratory Technician,Very High,Divorced,3408,No,3,2,4,2,2
No,Travel_Rarely,413,7,Marketing,585,Very High,3,Sales Representative,Medium,Single,2983,No,0,3,3,2,2
No,Travel_Rarely,1276,16,Life Sciences,586,Very High,3,Healthcare Representative,High,Married,7632,Yes,0,2,8,3,3
Yes,Travel_Frequently,534,20,Life Sciences,587,Low,3,Healthcare Representative,High,Married,9824,No,0,2,1,1,4
Yes,Travel_Frequently,988,23,Human Resources,590,Medium,3,Human Resources,Low,Divorced,9950,Yes,3,2,3,2,4
No,Travel_Frequently,1474,5,Other,591,Medium,3,Laboratory Technician,High,Married,2093,No,1,4,2,1,1
No,Non-Travel,635,10,Medical,592,Medium,3,Sales Executive,Very High,Single,9980,No,0,3,10,3,4
Yes,Travel_Frequently,1368,4,Technical Degree,593,High,2,Laboratory Technician,High,Single,3894,No,0,3,2,1,2
No,Travel_Rarely,163,2,Marketing,595,Medium,3,Sales Executive,Very High,Married,4051,No,1,2,9,3,2
No,Travel_Rarely,1117,18,Life Sciences,597,Low,3,Manager,Medium,Single,16835,No,0,2,10,3,4
No,Non-Travel,267,10,Life Sciences,599,Very High,3,Sales Executive,Very High,Single,6230,No,0,3,14,4,3
No,Travel_Rarely,619,1,Marketing,600,Medium,3,Sales Executive,High,Married,4717,No,0,2,11,4,2
No,Travel_Rarely,302,6,Life Sciences,601,Medium,3,Manufacturing Director,High,Single,13237,No,0,3,20,4,4
No,Travel_Frequently,443,8,Life Sciences,602,High,3,Laboratory Technician,High,Married,3755,No,1,3,8,3,2
No,Travel_Rarely,828,2,Life Sciences,604,Medium,3,Sales Executive,Very High,Single,6582,Yes,0,2,6,3,3
No,Travel_Rarely,319,24,Medical,605,Very High,3,Manufacturing Director,Low,Married,7406,Yes,1,5,10,3,3
No,Travel_Rarely,561,2,Other,606,Very High,3,Sales Executive,Medium,Married,4805,No,1,3,8,3,2
Yes,Travel_Frequently,426,17,Life Sciences,608,Medium,3,Human Resources,High,Divorced,2741,Yes,1,2,7,3,1
No,Travel_Rarely,232,19,Technical Degree,611,Very High,3,Manufacturing Director,Very High,Divorced,4262,No,2,2,3,2,2
No,Travel_Rarely,922,1,Medical,612,Low,4,Research Director,High,Divorced,16184,No,1,2,6,3,4
No,Travel_Rarely,688,7,Life Sciences,613,High,2,Manager,Very High,Divorced,11557,No,1,3,5,2,4
Yes,Travel_Frequently,1306,5,Marketing,614,Medium,3,Sales Representative,Medium,Single,1878,Yes,0,3,0,1,1
No,Non-Travel,1094,28,Other,615,High,1,Sales Executive,Low,Divorced,10932,No,1,2,1,1,4
No,Non-Travel,509,2,Other,616,Low,2,Healthcare Representative,High,Single,6811,Yes,0,3,8,3,3
No,Travel_Rarely,775,29,Medical,618,Low,3,Sales Executive,High,Divorced,4306,No,2,5,0,1,2
No,Travel_Rarely,195,1,Medical,620,Low,3,Sales Executive,High,Single,4859,No,0,3,5,2,2
No,Travel_Rarely,258,21,Life Sciences,621,Very High,4,Sales Executive,Very High,Single,5337,No,0,3,10,3,3
Yes,Travel_Rarely,471,24,Technical Degree,622,High,1,Laboratory Technician,Very High,Single,2340,Yes,0,3,1,1,1
No,Travel_Rarely,799,1,Technical Degree,623,Medium,3,Manufacturing Director,Very High,Single,7491,No,0,3,6,3,3
No,Travel_Frequently,1034,18,Medical,624,Low,3,Healthcare Representative,High,Married,10527,No,0,3,2,1,4
No,Travel_Rarely,1276,2,Life Sciences,625,Medium,3,Manager,Low,Married,16595,No,1,2,18,4,4
No,Non-Travel,142,9,Medical,626,Low,3,Sales Executive,Medium,Divorced,8834,No,1,6,9,3,4
No,Travel_Rarely,956,6,Technical Degree,630,Very High,3,Research Scientist,Low,Divorced,5577,Yes,2,3,10,3,3
Yes,Non-Travel,1474,11,Other,631,Very High,4,Sales Executive,High,Married,4707,No,0,2,4,2,2
No,Travel_Frequently,535,24,Medical,632,Very High,3,Sales Representative,Very High,Married,2400,No,2,3,2,1,1
No,Travel_Rarely,1495,10,Medical,634,High,3,Healthcare Representative,High,Married,9824,No,1,4,1,1,4
No,Travel_Rarely,446,1,Life Sciences,635,Medium,3,Manufacturing Director,Medium,Married,6447,No,1,2,6,3,3
No,Travel_Rarely,1245,18,Life Sciences,638,Very High,2,Research Director,High,Divorced,19502,Yes,1,5,31,4,4
No,Travel_Rarely,691,23,Medical,639,Medium,4,Research Scientist,Very High,Married,2725,Yes,2,3,6,3,1
